BoardTime,EEG_Ch1,EEG_Ch2,EEG_Ch3,EEG_Ch4,Label
1761186202.0446224,-38.13201994821429,-65.44824922457337,-18.89397457614541,-102.9033472808078,nothing
1761186202.0446224,-5.7744055315852165,-38.71544434130192,1.8624701779335737,-48.55512112472206,nothing
1761186202.0590875,-14.772604824975133,-36.21719117090106,19.26048477180302,-75.61703720409423,nothing
1761186202.0590875,-39.272689434699714,-86.94519416987896,-2.206540973857045,-110.85437458660454,nothing
1761186202.059757,-50.67564439959824,-76.13314339797944,-20.820023053325713,-92.55504410341382,nothing
1761186202.059757,-15.68888031411916,-14.836183124221861,-8.141762203536928,-45.41734506189823,nothing
1761186202.0734262,-21.074336250312626,-38.072181548923254,6.634582521393895,-59.56538659427315,nothing
1761186202.0734262,-93.30676399450749,-111.78934957552701,-60.881831378676,-126.44975740183145,nothing
1761186202.0890682,-24.294390112161636,-20.99205845128745,-25.438799498602748,-43.40901878569275,nothing
1761186202.0890682,-16.320923406630754,-17.102562497369945,6.604663321748376,-37.14842625986785,nothing
1761186202.0898304,-118.07238150108606,-137.19822987448424,-71.42460935376585,-155.62097705621272,nothing
1761186202.0898304,-79.32701796013862,-74.4427086180076,-66.53656011167914,-97.12520184926689,nothing
1761186202.1035113,4.252266249619424,25.588395496830344,22.263624436222017,19.76163136586547,nothing
1761186202.1035113,-89.12929574400187,-106.95739883277565,-63.439922948367894,-123.49897633679211,nothing
1761186202.1191669,-134.71119640395045,-130.05128105916083,-123.85052693262696,-162.43881467543542,nothing
1761186202.1191669,-14.398614829406142,9.420807988382876,-1.2229472855105996,-4.457960747182369,nothing
1761186202.119848,-41.52410920802504,-19.840169264934957,9.304871089756489,-30.18099264241755,nothing
1761186202.119848,-134.38582510780543,-140.87455153092742,-102.14788748975843,-155.16470926161855,nothing
1761186202.1334493,-69.42002297751606,-51.741515886969864,-77.63284328021109,-77.25511338468641,nothing
1761186202.1334493,-40.402139221318066,-32.61566751357168,-28.63641396071762,-58.589272705838084,nothing
1761186202.1491299,-92.44284710474312,-64.28514033835381,-44.77782216947526,-58.45837620738894,nothing
1761186202.1491299,-94.34645618218929,-69.61449777521193,-73.56009222846478,-92.95895329862833,nothing
1761186202.1498456,-62.194536263123155,-30.375467440113425,-41.96167750284076,-78.77351276669651,nothing
1761186202.1498456,-89.33499024156481,-69.50978057645261,-49.93888410832733,-86.3019313775003,nothing
1761186202.1635265,-57.381285020150244,-28.400800263509154,-35.158799483440816,-7.577037310227752,nothing
1761186202.1635265,-44.848880268633366,-21.919553640298545,-48.74959592241794,-41.247356611303985,nothing
1761186202.1790888,-88.47481325175613,-80.08621765114367,-70.34377826657146,-101.88235459290445,nothing
1761186202.1790888,-80.13857625052333,-46.535575148649514,-49.07496721856296,-30.865394334308803,nothing
1761186202.1798935,-11.459053464233875,48.37186602689326,5.557491334155202,50.01368210744113,nothing
1761186202.1798935,-77.27007298450917,-52.29128118045628,-44.856360068544745,-84.52921879850328,nothing
1761186202.1934984,-131.8800921374932,-119.28784898668528,-100.96233920380473,-143.46256230026484,nothing
1761186202.1934984,-36.50516346748918,14.664147726260126,-37.00257016159594,27.492004574276507,nothing
1761186202.2090328,-7.711673708632588,41.213697511702776,7.517198910936713,39.1305732363835,nothing
1761186202.2090328,-133.33117332030088,-119.46736418455839,-86.32437077723444,-139.5132279470563,nothing
1761186202.209838,-124.9500575195998,-90.58785672672093,-104.20483246538788,-107.55952272564173,nothing
1761186202.209838,-32.86998071055859,33.4608849035576,-18.658360878936946,25.947425892576575,nothing
1761186202.2234423,-58.548133806325495,-34.433258892036974,-19.630734867416322,-33.995690597221255,nothing
1761186202.2234423,-104.4217466628179,-97.63008834328502,-85.38191598840058,-100.92120030429214,nothing
1761186202.2391052,-29.103901455178857,8.493312799371779,-25.457498998381197,3.306071560829878,nothing
1761186202.2391052,-20.195459760725498,3.2424932615831494,-11.881662159226835,-26.96841858047992,nothing
1761186202.2398784,-100.21435921266675,-100.28167741186917,-62.976175353862345,-112.19699867069721,nothing
1761186202.2398784,-63.810173043981194,-40.96312421467155,-64.51701413560659,-58.88472480233759,nothing
1761186202.2534568,-31.968664821237326,-6.43636782374233,-28.748610959388316,-38.65186604205519,nothing
1761186202.2534568,-95.19915337208658,-106.72926493547857,-77.0755981868133,-129.1724045695737,nothing
1761186202.28484,-71.02444005850703,-64.32253933791071,-63.0659329527989,-58.925863701850176,nothing
1761186202.28484,-26.5308502856642,19.78407076559961,-41.83078100439161,-4.0465717520564795,nothing
1761186202.2855737,-69.05725268181413,-45.75019615795463,-46.38223925046623,-54.44172365497798,nothing
1761186202.2855737,-122.22741035185754,-87.00503256917,-88.20928035490215,-103.50173127371818,nothing
1761186202.2862213,-46.78988834563643,4.267225849442184,-49.08992681838572,-14.316337030380964,nothing
1761186202.2862213,-43.59975368343294,-11.608649462461472,-17.629888391122222,-43.36413998622447,nothing
1761186202.2990723,-108.69645231217146,-73.93782212398946,-83.60172360949218,-87.53609836287796,nothing
1761186202.2990723,-79.24100026115775,-25.659453595988452,-77.09803758654743,-41.299715210683644,nothing
1761186202.2997968,-22.839569029398263,31.549796026200056,-11.537591363303363,12.962493246421218,nothing
1761186202.2997968,-107.36878782790154,-77.39722958300263,-67.48649470042437,-103.33717567566782,nothing
1761186202.3134396,-120.74640996940434,-86.32811067719012,-85.69606758467853,-94.50353198032826,nothing
1761186202.3134396,-5.882862630300224,65.01816072966903,6.4176683239638805,65.10043852869421,nothing
1761186202.329111,-87.16584826726466,-58.62667170539498,-62.46380905993283,-77.46080788224936,nothing
1761186202.329111,-114.26890324614942,-101.95341269206256,-102.26008448842913,-100.5659098085016,nothing
1761186202.3298225,-46.498176149092615,5.938961129635572,-51.42736429069191,-5.755706031806767,nothing
1761186202.3298225,-67.62861089874059,-7.711673708632588,-22.304763335734606,-46.464517049491405,nothing
1761186202.343433,-147.32213905453682,-114.71395134087652,-114.28760274592787,-130.31307405605912,nothing
1761186202.343433,-70.23906106781214,-9.091696792282164,-69.76035387348384,-1.0621315874159336,nothing
1761186202.3590767,-45.94093105569482,5.587410533800721,-48.30454782769084,-27.506964174099267,nothing
1761186202.3590767,-120.9857635665685,-104.9041937571019,-88.73286634869874,-133.60418601706624,nothing
1761186202.359838,-112.14837997127324,-79.53645235765725,-79.57385135721415,-86.90405527036637,nothing
1761186202.359838,-54.37066555581987,3.171435162425041,-43.38283948600292,-17.36061559431255,nothing
1761186202.3734,-100.22557891253382,-85.92046158201993,-74.82043851353228,-95.41232766956091,nothing
1761186202.3734,-114.78874933999032,-74.88027691282332,-65.62776442244649,-72.07535194605589,nothing
1761186202.3891916,-62.67698335740715,-28.860807958059013,-84.24124650191516,-50.84767979755998,nothing
1761186202.3891916,-85.4118351880461,-47.36957283876836,-62.03746046498418,-82.99585981667042,nothing
1761186202.389847,-136.3941513840109,-133.07312022335827,-89.14799524378031,-132.44481703080237,nothing
1761186202.389847,-69.03855318203568,-26.261577488854527,-54.85311265010387,-22.746071530506015,nothing
1761186202.403396,-66.4393227128312,-24.57488260883838,-49.688310811296105,-61.330619373358786,nothing
1761186202.403396,-131.2817081445828,-99.29060392361134,-90.68883402552456,-124.92761811986566,nothing
1761186202.419154,-96.39966125786304,-53.51422846596688,-83.1117967152968,-50.81776059791446,nothing
1761186202.419154,-2.210280873812735,51.80509418621659,-3.373389760032296,40.802308516576886,nothing
1761186202.4198616,-115.06924183666706,-94.35767588205636,-92.27081170678139,-127.80734108574688,nothing
1761186202.4198616,-150.74788741394877,-124.96501711942255,-112.41391286812723,-130.0587608590722,nothing
1761186202.4333892,-22.1963062370196,59.397091096267104,-18.834136176854372,60.47792218346149,nothing
1761186202.4333892,-53.364632467739284,-17.005325098522007,-29.02536355610937,-17.211019596084952,nothing
1761186202.449155,-170.10560958459973,-147.22864155564457,-129.2098035691306,-173.92778733931482,nothing
1761186202.449155,-106.02990364376456,-69.41628307756037,-79.89922265335917,-70.85614456050098,nothing
1761186202.449872,20.86490185279399,86.7843784717843,32.421192715875804,108.19156581815332,nothing
1761186202.449872,-118.55108869541436,-83.53066551033407,-75.05605221074075,-105.37168125156313,nothing
1761186202.463525,-152.9245091881603,-115.25997673440725,-120.74640996940434,-134.3633857080713,nothing
1761186202.463525,2.2701192731037736,83.70270090829581,12.180854155682027,81.49615993443877,nothing
1761186202.4791007,-94.00238538626581,-46.95070404373109,-49.51253551337868,-59.85709879081696,nothing
1761186202.4791007,-144.8874641833827,-115.78730262815952,-115.94063852634281,-119.92363197915256,nothing
1761186202.4798236,-59.92815688997507,8.642908797599375,-53.61520576477051,6.720600220374763,nothing
1761186202.4798236,-93.25440539512783,-36.10873407218605,-67.5500729996711,-70.63923036307096,nothing
1761186202.493506,-138.98590205330402,-110.09517489559948,-98.80067702941597,-119.78525568079203,nothing
1761186202.493506,-81.15956893842667,-17.599969191476703,-66.33086561411619,-40.035629025660455,nothing
1761186202.509199,-58.07316651195288,-9.749919184483588,-49.62847241200507,-32.07712191995233,nothing
1761186202.509199,-134.83461310248822,-123.51393593661487,-114.9084261385724,-142.8080798080191,nothing
1761186202.5098636,-99.7132126186043,-58.6939899045974,-77.98439387604594,-53.05048087146133,nothing
1761186202.5098636,-47.12273944169283,23.965278916060925,-26.758984182961285,8.743886096403003,nothing
1761186202.5234096,-121.11292016506195,-82.75276631955057,-87.70065396092832,-109.69874550029635,nothing
1761186202.5234096,-158.32866462413222,-125.07347421813756,-118.0536820013076,-131.52106174174696,nothing
1761186202.5391188,-60.971588977612555,-0.8003385905176401,-59.12407839950174,4.790811843238771,nothing
1761186202.5391188,-72.27356664370745,-27.76127737108618,-59.797260391525924,-35.36449398100376,nothing
1761186202.5397744,-155.86781045328826,-126.93968429602683,-106.43381283897907,-135.31706019677222,nothing
1761186202.5397744,-93.74059238936752,-39.86359362769872,-75.13459010981023,-31.83402842283249,nothing
1761186202.5534132,-43.52869558427483,30.741977635771036,-28.5316967619583,10.505378975532949,nothing
1761186202.5534132,-109.01060390844941,-83.22773361392319,-91.51909181568772,-102.83602908160537,nothing
1761186202.5691657,-101.74023839458823,-67.70714879781008,-90.116629332304,-70.00344737060368,nothing
1761186202.5691657,-61.4353365721181,0.13837629836052656,-59.50554819498211,-20.09822236187756,nothing
1761186202.5698469,-103.09408217854798,-60.35450548492372,-73.20854163262993,-87.60715646203607,nothing
1761186202.5698469,-145.9196765711531,-116.0565754249692,-102.14040768984705,-116.88309331517667,nothing
1761186202.5834963,-79.84686405397952,-6.04741822835058,-55.731989139690995,-14.035844533704221,nothing
1761186202.5834963,-69.95108877122402,-28.95056555699557,-38.27413614653051,-49.688310811296105,nothing
1761186202.5991209,-139.19907635077834,-130.34299325570464,-117.57871470693499,-136.6896034805104,nothing
1761186202.5991209,-88.78896484803408,-45.94467095565051,-93.28806449472904,-54.576360053382814,nothing
1761186202.5998151,-65.67264322191477,-0.6283031925559044,-52.02200838364661,-23.045263526961207,nothing
1761186202.5998151,-138.3650786606595,-108.1279875189066,-89.29759124200791,-112.8701806627214,nothing
1761186202.6134913,-132.654251428321,-89.55564433895051,-96.51933805644512,-91.66120801400393,nothing
1761186202.6134913,-69.81645237281919,-6.066117728129029,-48.2447094283998,-19.75789146590978,nothing
1761186202.6291616,-102.11048849020153,-74.83165821339935,-64.00464784167707,-83.26513261348009,nothing
1761186202.6291616,-133.40597131941468,-106.82276243437082,-111.80430917534977,-105.06126955524087,nothing
1761186202.6298742,-79.33449776005,-20.378714858554304,-72.38576364237815,-27.869734469801188,nothing
1761186202.6298742,-85.69232768472284,-38.11332044843584,-47.44063093792647,-52.556814077310264,nothing
1761186202.6434753,-136.52504788246006,-103.28481707628816,-91.189980619587,-107.20797212980688,nothing
1761186202.6434753,-95.19915337208658,-47.9118583323434,-90.20638693124056,-53.94057706091553,nothing
1761186202.6591132,-52.72136967536062,0.7031011916697025,-31.639553625136614,-8.43347440008074,nothing
1761186202.6591132,-127.51562888920307,-91.32835691794753,-95.66664086654782,-111.680892476812,nothing
1761186202.659848,-125.36518641468138,-81.32038463652134,-97.16260084882379,-74.54742581676692,nothing
1761186202.659848,-66.8843708075583,4.300884949043393,-43.99618307873607,-6.503686022944748,nothing
1761186202.6734772,-88.79644464794546,-53.727402763441205,-51.18427079357207,-67.78568669687957,nothing
